frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
1557,51.867,0.98,1,0.221872,0.640341,-0.735348,0.052819,0.486455,-0.872108,0.169,0.611,0.407,-0.12,0.213
1579,52.6,0.98,1,0.253468,0.634937,-0.729801,-0.070115,0.511668,-0.856318,0.115,0.626,0.464,-0.271,0.384
1580,52.633,0.98,1,0.197395,0.660489,-0.724423,-0.01835,0.494796,-0.868815,0.112,0.627,0.49,-0.278,0.371
6816,227.167,0.98,1,0.296685,0.609968,-0.734791,0.080877,0.545054,-0.834491,0.236,0.634,0.53,-0.241,0.045
6817,227.2,0.98,1,0.262862,0.633945,-0.727336,0.073417,0.557912,-0.826646,0.213,0.654,0.53,-0.213,0.052
6818,227.233,0.98,1,0.242747,0.640699,-0.728409,0.063997,0.580049,-0.812064,0.197,0.67,0.533,-0.192,0.052
6819,227.267,0.98,1,0.225611,0.641988,-0.732769,0.04901,0.581087,-0.812365,0.176,0.67,0.538,-0.183,0.055
6820,227.3,0.98,1,0.206004,0.656754,-0.725422,0.011112,0.595286,-0.803437,0.141,0.686,0.557,-0.166,0.054
6821,227.333,0.98,1,0.16754,0.647624,-0.743313,0.021106,0.560074,-0.828174,0.119,0.655,0.569,-0.15,0.051
6822,227.367,0.98,1,0.192346,0.644067,-0.740393,0.018991,0.552091,-0.833568,0.133,0.65,0.586,-0.137,0.047
6823,227.4,0.98,1,0.222319,0.623965,-0.749161,0.018511,0.516991,-0.855791,0.149,0.618,0.584,-0.143,0.044
6925,230.8,0.98,1,0.094493,0.584308,-0.806012,0.076418,0.641462,-0.763339,0.108,0.663,0.622,0.059,-0.087
8275,275.8,0.98,1,0.260059,0.532333,-0.8056,0.013343,0.595646,-0.803136,0.168,0.612,0.347,0.087,-0.074
8276,275.833,0.98,1,0.209627,0.55091,-0.807808,0.001376,0.610547,-0.791979,0.131,0.628,0.351,0.085,-0.075
8277,275.867,0.98,1,0.203575,0.551884,-0.808691,0.001094,0.600146,-0.79989,0.127,0.622,0.352,0.084,-0.075
8278,275.9,0.98,1,0.178323,0.557312,-0.810928,0.007844,0.596474,-0.802594,0.115,0.621,0.352,0.082,-0.074
8279,275.933,0.98,1,0.188969,0.571128,-0.798814,0.009192,0.606582,-0.794968,0.124,0.636,0.354,0.08,-0.073
8280,275.967,0.98,1,0.190157,0.567106,-0.801393,0.012214,0.595379,-0.803352,0.125,0.627,0.355,0.078,-0.07
8281,276.0,0.98,1,0.184946,0.558183,-0.808843,0.015445,0.586205,-0.810016,0.123,0.615,0.355,0.081,-0.066
8282,276.033,0.98,1,0.192368,0.558697,-0.806754,-0.000861,0.597295,-0.802021,0.118,0.623,0.355,0.082,-0.063
8283,276.067,0.98,1,0.18861,0.560933,-0.80609,0.00898,0.592671,-0.805395,0.122,0.621,0.355,0.08,-0.061
8285,276.133,0.98,1,0.210332,0.566849,-0.796519,-0.041381,0.625909,-0.778798,0.107,0.648,0.353,0.072,-0.056
8286,276.167,0.98,1,0.204278,0.561075,-0.802163,-0.03485,0.623878,-0.780744,0.107,0.643,0.352,0.069,-0.054
