frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
3040,101.3,0.98,1,0.872666,0.248946,-0.420096,0.855202,0.196102,-0.479764,1.091,0.459,1.62,-1.321,1.959
3041,101.333,0.98,1,0.855664,0.315791,-0.410018,0.849051,0.270999,-0.45351,1.102,0.597,1.79,-1.212,2.033
3044,101.433,0.77,1,0.806488,0.339341,-0.484175,0.764182,0.32038,-0.559805,0.984,0.564,1.215,-1.139,1.24
3047,101.533,0.98,1,0.804679,0.342695,-0.484822,0.740899,0.338333,-0.580172,0.967,0.569,1.0,-1.095,0.905
3049,101.6,0.98,1,0.781757,0.407144,-0.472325,0.720024,0.400706,-0.56657,0.966,0.661,1.082,-1.017,0.949
3057,101.867,0.88,1,0.677179,0.537645,-0.502361,0.593422,0.553155,-0.584696,0.863,0.787,1.232,-0.739,0.931
3060,101.967,0.88,1,0.672365,0.567497,-0.47526,0.594289,0.582901,-0.554118,0.888,0.841,1.335,-0.729,0.983
3081,102.667,0.98,1,0.698516,0.573373,-0.428158,0.633656,0.589773,-0.500647,0.962,0.897,1.472,-0.799,1.272
3082,102.7,0.98,1,0.694267,0.580701,-0.425182,0.63542,0.595096,-0.49204,0.967,0.908,1.478,-0.798,1.271
3083,102.733,0.98,1,0.688635,0.583263,-0.430798,0.632538,0.598725,-0.49135,0.961,0.908,1.479,-0.793,1.276
3084,102.767,0.98,1,0.677345,0.587326,-0.443004,0.624519,0.60396,-0.495185,0.946,0.904,1.465,-0.774,1.263
3085,102.8,0.88,1,0.67504,0.584454,-0.450261,0.622263,0.599336,-0.503572,0.937,0.893,1.451,-0.77,1.259
3086,102.833,0.88,1,0.674098,0.582658,-0.453984,0.622908,0.596879,-0.505688,0.934,0.888,1.449,-0.768,1.265
3087,102.867,0.88,1,0.678167,0.57849,-0.453254,0.628434,0.592676,-0.503791,0.939,0.886,1.442,-0.776,1.267
3088,102.9,0.98,1,0.682076,0.573675,-0.453507,0.638215,0.583096,-0.502673,0.944,0.88,1.427,-0.795,1.27
3089,102.933,0.88,1,0.691065,0.56912,-0.445569,0.653338,0.575721,-0.491625,0.962,0.885,1.452,-0.814,1.305
3090,102.967,0.98,1,0.698275,0.563958,-0.440867,0.667911,0.568005,-0.480901,0.977,0.887,1.497,-0.824,1.364
3091,103.0,0.98,1,0.717627,0.553815,-0.422258,0.692744,0.554492,-0.461133,1.011,0.898,1.552,-0.857,1.451
3092,103.033,0.98,1,0.731908,0.536601,-0.419964,0.713501,0.531885,-0.456087,1.026,0.884,1.623,-0.871,1.542
3093,103.067,0.88,1,0.745883,0.518287,-0.418375,0.739397,0.507995,-0.441852,1.046,0.873,1.718,-0.883,1.684
3094,103.1,0.98,1,0.742541,0.523502,-0.417826,0.740362,0.515353,-0.431596,1.051,0.885,1.84,-0.877,1.84
3095,103.133,0.98,1,0.748444,0.5224,-0.408571,0.750196,0.510954,-0.419681,1.066,0.895,1.933,-0.866,1.97
3096,103.167,0.98,1,0.746416,0.523335,-0.411076,0.74983,0.510437,-0.420962,1.063,0.893,2.021,-0.835,2.08
3098,103.233,0.98,1,0.765155,0.499824,-0.405849,0.773702,0.486622,-0.40569,1.085,0.882,2.196,-0.773,2.284
3099,103.267,0.77,1,0.756172,0.509245,-0.410943,0.765598,0.495985,-0.409706,1.076,0.886,2.2,-0.762,2.29
3179,105.933,0.98,1,0.517733,0.373224,-0.769842,0.394591,0.330995,-0.85717,0.511,0.408,0.437,-0.441,0.448
3180,105.967,0.98,1,0.516974,0.37034,-0.771743,0.393089,0.328709,-0.858738,0.509,0.405,0.436,-0.435,0.439
3181,106.0,0.88,1,0.494257,0.381374,-0.781193,0.370667,0.340991,-0.863905,0.484,0.414,0.449,-0.389,0.426
3182,106.033,0.98,1,0.481729,0.386939,-0.786267,0.359619,0.349016,-0.865368,0.471,0.419,0.464,-0.366,0.425
3199,106.6,0.98,1,0.50894,0.401974,-0.761181,0.35982,0.302735,-0.882542,0.486,0.405,0.21,-0.489,0.14
