frame,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz
2,0.042,0.98,1,0.314827,0.436312,-0.842921,0.130946,0.400048,-0.907091,0.249,0.446,0.2,-0.174,0.189
3,0.083,0.98,1,0.281108,0.418011,-0.863855,0.100003,0.380862,-0.919208,0.211,0.421,0.204,-0.186,0.193
9,0.333,0.98,1,0.268091,0.40969,-0.871941,0.0736,0.363668,-0.928617,0.188,0.406,0.257,-0.181,0.212
10,0.375,0.98,1,0.255665,0.417515,-0.871961,0.05974,0.362004,-0.93026,0.173,0.408,0.264,-0.176,0.217
11,0.417,0.98,1,0.263631,0.417055,-0.869807,0.082162,0.356687,-0.930604,0.19,0.406,0.274,-0.18,0.222
12,0.458,0.98,1,0.265284,0.418104,-0.8688,0.075528,0.371754,-0.925254,0.188,0.415,0.271,-0.185,0.222
13,0.5,0.98,1,0.266778,0.422819,-0.866056,0.065402,0.369465,-0.92694,0.183,0.416,0.275,-0.187,0.227
14,0.542,0.98,1,0.277147,0.42419,-0.862121,0.075565,0.378232,-0.922622,0.195,0.423,0.28,-0.183,0.225
15,0.583,0.98,1,0.282672,0.430146,-0.857363,0.071394,0.383231,-0.920889,0.197,0.429,0.28,-0.187,0.222
16,0.625,0.98,1,0.273275,0.437144,-0.85687,0.07123,0.382766,-0.921095,0.191,0.432,0.278,-0.183,0.22
17,0.667,0.98,1,0.302413,0.409663,-0.860652,0.064394,0.366064,-0.928359,0.202,0.409,0.279,-0.174,0.216
58,2.375,0.98,1,0.097366,0.403037,-0.909989,-0.056922,0.20084,-0.977969,0.021,0.31,0.211,-0.057,0.227
62,2.542,0.98,1,0.167214,0.482681,-0.859685,-0.008691,0.269177,-0.963052,0.087,0.391,0.19,-0.102,0.236
65,2.667,0.93,1,0.033488,0.448525,-0.893143,-0.051067,0.23319,-0.971089,-0.009,0.351,0.188,-0.16,0.199
86,3.542,0.98,1,-0.150668,0.398704,-0.904618,-0.288468,0.422163,-0.859398,-0.244,0.436,0.141,0.159,0.051
87,3.583,0.93,1,-0.145855,0.419932,-0.895759,-0.288483,0.422475,-0.859239,-0.243,0.448,0.173,0.197,0.059
88,3.625,0.93,1,-0.14346,0.431026,-0.890862,-0.301254,0.436898,-0.847565,-0.25,0.463,0.194,0.223,0.06
89,3.667,0.93,1,-0.132275,0.452385,-0.881959,-0.317033,0.44444,-0.837833,-0.256,0.481,0.213,0.235,0.054
90,3.708,0.93,1,-0.112522,0.467427,-0.876841,-0.335829,0.469101,-0.8168,-0.259,0.505,0.224,0.234,0.042
91,3.75,0.93,1,-0.073354,0.471018,-0.879068,-0.319198,0.477545,-0.818574,-0.227,0.51,0.24,0.231,0.032
92,3.792,0.93,1,-0.049319,0.481407,-0.875108,-0.325038,0.448208,-0.832742,-0.216,0.498,0.239,0.225,0.027
93,3.833,0.93,1,-0.029677,0.464492,-0.88508,-0.297234,0.490324,-0.819289,-0.19,0.511,0.23,0.207,0.022
94,3.875,0.93,1,-0.007081,0.456993,-0.889442,-0.262767,0.49433,-0.828608,-0.156,0.506,0.221,0.19,0.015
95,3.917,0.93,1,0.009373,0.455287,-0.890295,-0.253964,0.475703,-0.842145,-0.14,0.493,0.202,0.175,0.006
96,3.958,0.93,1,-0.006478,0.412758,-0.910818,-0.245765,0.460789,-0.852803,-0.142,0.46,0.194,0.167,-0.004
97,4.0,0.98,1,0.024417,0.426372,-0.904218,-0.226779,0.449146,-0.864199,-0.114,0.46,0.183,0.152,-0.011
98,4.042,0.98,1,0.030951,0.387665,-0.921281,-0.21459,0.413864,-0.884685,-0.101,0.418,0.156,0.125,-0.012
99,4.083,0.98,1,0.063876,0.456678,-0.887336,-0.21481,0.418193,-0.882593,-0.085,0.459,0.163,0.121,-0.005
100,4.125,0.98,1,0.101086,0.445145,-0.889735,-0.141576,0.391792,-0.909096,-0.023,0.435,0.15,0.08,0.015
101,4.167,0.98,1,0.131592,0.462219,-0.876948,-0.091044,0.444728,-0.891026,0.023,0.474,0.15,0.015,0.031
102,4.208,0.98,1,0.17029,0.465103,-0.868723,-0.093294,0.427035,-0.89941,0.044,0.467,0.148,-0.035,0.049
103,4.25,0.98,1,0.192409,0.465179,-0.864053,-0.074664,0.422029,-0.903503,0.067,0.465,0.15,-0.088,0.056
104,4.292,0.98,1,0.261367,0.443323,-0.85741,-0.004739,0.422122,-0.906526,0.144,0.456,0.146,-0.135,0.037
105,4.333,0.98,1,0.270934,0.424709,-0.863838,0.00475,0.41035,-0.911916,0.154,0.44,0.134,-0.146,0.03
106,4.375,0.98,1,0.271086,0.417954,-0.86708,0.023903,0.408775,-0.912322,0.164,0.435,0.118,-0.156,0.026
107,4.417,0.98,1,0.289009,0.402776,-0.868473,0.028927,0.386087,-0.922009,0.176,0.415,0.106,-0.167,0.023
108,4.458,0.98,1,0.273559,0.401861,-0.873884,0.02202,0.371882,-0.928019,0.163,0.406,0.101,-0.166,0.02
